"filename", "language", "Ignore", "JSON", "JSON with Comments", "YAML", "TypeScript", "Markdown", "Docker", "comment", "blank", "total"
"d:\coding\syndicate-bot-2\src\config\botSites.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 1, 53
"d:\coding\syndicate-bot-2\src\config\config.ts", "TypeScript", 0, 0, 0, 0, 98, 0, 0, 1, 1, 100
"d:\coding\syndicate-bot-2\src\config\debug.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\coding\syndicate-bot-2\src\constants\discord-limits.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\coding\syndicate-bot-2\src\constants\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\coding\syndicate-bot-2\src\controllers\controller.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\coding\syndicate-bot-2\src\controllers\guilds-controller.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 7, 35
"d:\coding\syndicate-bot-2\src\controllers\index.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\coding\syndicate-bot-2\src\controllers\root-controller.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"d:\coding\syndicate-bot-2\src\controllers\shards-controller.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 14, 84
"d:\coding\syndicate-bot-2\src\embeds\system.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 10, 102
"d:\coding\syndicate-bot-2\src\enums\help-option.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\coding\syndicate-bot-2\src\enums\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\coding\syndicate-bot-2\src\enums\info-option.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\coding\syndicate-bot-2\src\events\button-handler.ts", "TypeScript", 0, 0, 0, 0, 76, 0, 0, 7, 12, 95
"d:\coding\syndicate-bot-2\src\events\channel-delete-handler.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 3, 46
"d:\coding\syndicate-bot-2\src\events\command-handler.ts", "TypeScript", 0, 0, 0, 0, 144, 0, 0, 6, 15, 165
"d:\coding\syndicate-bot-2\src\events\event-handler.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\coding\syndicate-bot-2\src\events\guild-join-handler.ts", "TypeScript", 0, 0, 0, 0, 87, 0, 0, 3, 5, 95
"d:\coding\syndicate-bot-2\src\events\guild-leave-handler.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\coding\syndicate-bot-2\src\events\index.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\coding\syndicate-bot-2\src\events\menu-handler.ts", "TypeScript", 0, 0, 0, 0, 77, 0, 0, 0, 11, 88
"d:\coding\syndicate-bot-2\src\events\message-handler.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 2, 5, 18
"d:\coding\syndicate-bot-2\src\events\modal-submit-handler.ts", "TypeScript", 0, 0, 0, 0, 77, 0, 0, 6, 12, 95
"d:\coding\syndicate-bot-2\src\events\reaction-handler.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 6, 13, 63
"d:\coding\syndicate-bot-2\src\events\role-delete-handler.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\coding\syndicate-bot-2\src\events\trigger-handler.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 5, 11, 54
"d:\coding\syndicate-bot-2\src\extensions\BotError.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\coding\syndicate-bot-2\src\extensions\custom-client.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"d:\coding\syndicate-bot-2\src\extensions\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\coding\syndicate-bot-2\src\jobs\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\coding\syndicate-bot-2\src\jobs\job.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\coding\syndicate-bot-2\src\jobs\restart-shard-job.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 6, 22
"d:\coding\syndicate-bot-2\src\jobs\update-server-count-job.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 23, 12, 77
"d:\coding\syndicate-bot-2\src\menus\approve-menu-event.ts", "TypeScript", 0, 0, 0, 0, 91, 0, 0, 0, 17, 108
"d:\coding\syndicate-bot-2\src\menus\chain-menu-event.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 11, 76
"d:\coding\syndicate-bot-2\src\menus\channel-add-menu-event.ts", "TypeScript", 0, 0, 0, 0, 68, 0, 0, 0, 5, 73
"d:\coding\syndicate-bot-2\src\menus\channel-remove-menu-event.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 0, 6, 75
"d:\coding\syndicate-bot-2\src\menus\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\coding\syndicate-bot-2\src\menus\mention-add-menu-event.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 5, 70
"d:\coding\syndicate-bot-2\src\menus\mention-remove-menu-event.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 7, 79
"d:\coding\syndicate-bot-2\src\menus\menu.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\coding\syndicate-bot-2\src\menus\tag-menu-event.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 13, 60
"d:\coding\syndicate-bot-2\src\messages\previews\ethereum.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 0, 0, 1, 100
"d:\coding\syndicate-bot-2\src\messages\previews\general.ts", "TypeScript", 0, 0, 0, 0, 73, 0, 0, 1, 1, 75
"d:\coding\syndicate-bot-2\src\messages\previews\solana.ts", "TypeScript", 0, 0, 0, 0, 99, 0, 0, 0, 1, 100
"d:\coding\syndicate-bot-2\src\messages\setup.ts", "TypeScript", 0, 0, 0, 0, 165, 0, 0, 0, 12, 177
"d:\coding\syndicate-bot-2\src\middleware\check-auth.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\coding\syndicate-bot-2\src\middleware\handle-error.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
